state,year,electricity_consumption_kwh,carbon_emission_kg,population,gdp_per_capita
Andaman and Nicobar Islands,2017,614.97,556.12,359281,138077
Andaman and Nicobar Islands,2018,682.67,623.72,363593,133771
Andaman and Nicobar Islands,2019,697.72,623.0,367956,152579
Andaman and Nicobar Islands,2020,675.82,616.91,372371,158808
Andaman and Nicobar Islands,2021,718.85,639.76,376840,166485
Andaman and Nicobar Islands,2022,754.28,684.94,381362,174074
Andaman and Nicobar Islands,2023,793.13,708.3,385938,188204
Andaman and Nicobar Islands,2024,828.51,756.26,390570,198806
Andaman and Nicobar Islands,2025,843.44,757.25,395256,207566
Andaman and Nicobar Islands,2026,895.87,810.99,400000,220000
Andhra Pradesh,2017,1709.98,1479.51,47604856,137398
Andhra Pradesh,2018,1568.47,1350.83,48176114,129548
Andhra Pradesh,2019,1754.9,1456.24,48754227,150808
Andhra Pradesh,2020,1694.24,1421.08,49339278,154344
Andhra Pradesh,2021,1938.57,1669.73,49931349,160891
Andhra Pradesh,2022,1908.58,1607.12,50530526,179405
Andhra Pradesh,2023,1937.62,1674.14,51136892,189356
Andhra Pradesh,2024,2177.35,1825.81,51750535,194787
Andhra Pradesh,2025,2147.77,1823.53,52371541,206715
Andhra Pradesh,2026,2368.02,2023.03,53000000,220000
Arunachal Pradesh,2017,1742.43,696.34,1437127,132890
Arunachal Pradesh,2018,1883.6,765.22,1454373,131586
Arunachal Pradesh,2019,1818.11,710.93,1471825,135038
Arunachal Pradesh,2020,2034.6,808.63,1489487,153849
Arunachal Pradesh,2021,2037.81,829.28,1507361,151539
Arunachal Pradesh,2022,2190.14,878.36,1525449,161459
Arunachal Pradesh,2023,2267.5,902.0,1543755,177050
Arunachal Pradesh,2024,2211.97,889.37,1562280,188875
Arunachal Pradesh,2025,2493.54,994.93,1581027,198776
Arunachal Pradesh,2026,2513.77,1026.68,1600000,210000
Assam,2017,692.79,607.86,32335373,61229
Assam,2018,787.81,704.43,32723398,62716
Assam,2019,844.59,757.18,33116079,68839
Assam,2020,865.37,778.75,33513472,72590
Assam,2021,844.94,769.26,33915633,73138
Assam,2022,938.44,862.24,34322621,78996
Assam,2023,951.78,868.46,34734492,85470
Assam,2024,1031.69,940.69,35151306,90646
Assam,2025,1039.48,918.37,35573122,94923
Assam,2026,1083.24,972.56,36000000,100000
Bihar,2017,581.91,557.43,114072013,31107
Bihar,2018,592.87,584.68,115440877,35230
Bihar,2019,631.44,610.58,116826168,36637
Bihar,2020,645.83,624.74,118228082,39910
Bihar,2021,698.04,671.57,119646819,42273
Bihar,2022,725.95,677.06,121082581,42159
Bihar,2023,742.95,695.7,122535572,46021
Bihar,2024,784.1,759.07,124005999,47433
Bihar,2025,785.31,747.68,125494071,51071
Bihar,2026,849.7,804.31,127000000,54000
Chandigarh,2017,1396.13,1118.47,1077845,207428
Chandigarh,2018,1456.28,1182.1,1090779,236018
Chandigarh,2019,1469.13,1188.36,1103869,218916
Chandigarh,2020,1483.55,1200.67,1117115,249970
Chandigarh,2021,1554.49,1234.02,1130521,260143
Chandigarh,2022,1672.23,1373.16,1144087,285824
Chandigarh,2023,1793.65,1436.03,1157816,289898
Chandigarh,2024,1794.77,1465.58,1171710,313939
Chandigarh,2025,1921.59,1543.2,1185770,327634
Chandigarh,2026,2057.49,1646.17,1200000,350000
Chhattisgarh,2017,2089.67,2199.95,26946144,85181
Chhattisgarh,2018,2265.37,2348.1,27269498,94240
Chhattisgarh,2019,2245.14,2370.03,27596732,91999
Chhattisgarh,2020,2474.4,2585.07,27927893,98446
Chhattisgarh,2021,2500.57,2575.55,28263028,108806
Chhattisgarh,2022,2826.83,3050.25,28602184,109750
Chhattisgarh,2023,2714.96,2869.61,28945410,118733
Chhattisgarh,2024,2807.89,2874.47,29292755,126605
Chhattisgarh,2025,2952.81,3177.71,29644268,132895
Chhattisgarh,2026,3124.94,3201.84,30000000,140000
Dadra and Nagar Haveli,2017,10614.1,10333.16,359281,203275
Dadra and Nagar Haveli,2018,11151.19,10390.25,363593,211232
Dadra and Nagar Haveli,2019,12218.52,11933.54,367956,245518
Dadra and Nagar Haveli,2020,11878.57,11266.85,372371,248592
Dadra and Nagar Haveli,2021,13191.54,12780.71,376840,273054
Dadra and Nagar Haveli,2022,13354.96,13134.06,381362,269898
Dadra and Nagar Haveli,2023,13656.52,12985.54,385938,292445
Dadra and Nagar Haveli,2024,13673.01,13238.86,390570,309821
Dadra and Nagar Haveli,2025,15219.91,14474.31,395256,330900
Dadra and Nagar Haveli,2026,15490.17,14761.49,400000,350000
Daman and Diu,2017,10158.54,9599.15,224551,200370
Daman and Diu,2018,11127.22,10663.03,227245,209789
Daman and Diu,2019,12080.5,11354.23,229972,223552
Daman and Diu,2020,11264.39,10505.25,232732,239154
Daman and Diu,2021,13249.03,12503.6,235525,255349
Daman and Diu,2022,13553.51,13055.63,238351,270506
Daman and Diu,2023,13847.42,13323.56,241211,302156
Daman and Diu,2024,14149.39,13318.3,244106,306275
Daman and Diu,2025,15478.17,14939.21,247035,330510
Daman and Diu,2026,16019.31,14945.18,250000,350000
Delhi,2017,2374.34,2255.32,17964096,258255
Delhi,2018,2608.13,2507.6,18179665,292550
Delhi,2019,2851.88,2764.47,18397821,308516
Delhi,2020,2911.46,2774.34,18618595,299117
Delhi,2021,2977.18,2808.07,18842018,315265
Delhi,2022,2954.54,2864.08,19068123,359695
Delhi,2023,3042.49,2958.44,19296940,361064
Delhi,2024,3363.52,3195.13,19528503,392062
Delhi,2025,3600.11,3459.65,19762845,414442
Delhi,2026,3531.56,3312.5,20000000,440000
Goa,2017,3915.09,3575.56,1437127,315855
Goa,2018,4169.69,3755.78,1454373,362633
Goa,2019,4011.35,3710.94,1471825,379297
Goa,2020,4233.17,3865.65,1489487,403360
Goa,2021,4512.94,3979.09,1507361,439456
Goa,2022,4445.41,4022.62,1525449,448693
Goa,2023,4874.79,4484.49,1543755,489240
Goa,2024,4978.08,4461.31,1562280,510201
Goa,2025,5256.47,4652.95,1581027,548402
Goa,2026,5516.11,4985.25,1600000,580000
Gujarat,2017,3223.01,3059.31,57485109,155812
Gujarat,2018,3310.21,3159.44,58174930,164315
Gujarat,2019,3331.05,3088.59,58873029,195597
Gujarat,2020,3385.47,3242.03,59579506,193595
Gujarat,2021,3679.41,3479.51,60294460,205878
Gujarat,2022,3938.05,3828.2,61017993,215988
Gujarat,2023,4175.63,3976.73,61750209,236382
Gujarat,2024,4449.14,4282.34,62491212,251920
Gujarat,2025,4325.12,4197.88,63241106,264463
Gujarat,2026,4664.79,4287.25,64000000,280000
Haryana,2017,3464.04,3307.16,25149735,159087
Haryana,2018,3638.76,3498.12,25451532,188728
Haryana,2019,3657.66,3495.79,25756950,197286
Haryana,2020,3745.24,3553.96,26066033,213242
Haryana,2021,3977.42,3806.19,26378826,219888
Haryana,2022,4200.5,3971.36,26695372,235477
Haryana,2023,4289.56,4040.91,27015716,249247
Haryana,2024,4405.19,4172.91,27339905,259426
Haryana,2025,4666.78,4436.24,27667984,272048
Haryana,2026,4958.31,4666.56,28000000,290000
Himachal Pradesh,2017,2277.38,782.4,6646715,130560
Himachal Pradesh,2018,2244.53,759.75,6726476,132981
Himachal Pradesh,2019,2560.07,882.75,6807194,138898
Himachal Pradesh,2020,2452.99,859.57,6888880,156018
Himachal Pradesh,2021,2562.25,884.62,6971546,166313
Himachal Pradesh,2022,2738.63,949.11,7055205,176548
